Date,Close/Last,Volume,Open,High,Low
05/03/2024,$181.19,75491540,$182.10,$184.78,$178.42
05/02/2024,$180.01,89148040,$182.86,$184.60,$176.02
05/01/2024,$179.99,92829720,$182.00,$185.86,$179.01
04/30/2024,$183.28,127031800,$186.98,$190.95,$182.8401
04/29/2024,$194.05,243869700,$188.42,$198.87,$184.54
04/26/2024,$168.29,109815700,$168.85,$172.12,$166.37
04/25/2024,$170.18,126427500,$158.96,$170.88,$158.36
04/24/2024,$162.13,181178000,$162.84,$167.97,$157.51
04/23/2024,$144.68,124545100,$143.33,$147.26,$141.11
04/22/2024,$142.05,107097600,$140.56,$144.44,$138.8025
04/19/2024,$147.05,87074500,$148.97,$150.94,$146.22
04/18/2024,$149.93,96098830,$151.25,$152.20,$148.70
04/17/2024,$155.45,82439720,$157.64,$158.33,$153.78
04/16/2024,$157.11,96999960,$156.742,$158.19,$153.75
04/15/2024,$161.48,100245300,$170.24,$170.69,$161.38
04/12/2024,$171.05,64722670,$172.34,$173.8099,$170.3644
04/11/2024,$174.60,94515990,$172.55,$175.88,$168.51
04/10/2024,$171.76,84532410,$173.04,$174.93,$170.01
04/09/2024,$176.88,103232700,$172.91,$179.22,$171.92
04/08/2024,$172.98,104423300,$169.34,$174.50,$167.79
04/05/2024,$164.90,143157600,$169.08,$170.86,$160.51
