Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1441952,5/31/12,5/31/12,,"Salmon Fishing in the Yemen",https://www.imdb.com/title/tt1441952/,Movie,6.8,107,2012,"Comedy, Drama, Romance",66985,4/20/12,"Lasse Hallström",,
2,tt1334260,7/15/12,7/15/12,,"Never Let Me Go",https://www.imdb.com/title/tt1334260/,Movie,7.1,103,2010,"Drama, Romance, Sci-Fi, Thriller",152702,10/15/10,"Mark Romanek",,
3,tt0063121,8/22/12,8/22/12,,"Ice Station Zebra",https://www.imdb.com/title/tt0063121/,Movie,6.6,148,1968,"Adventure, Thriller",11805,10/23/68,"John Sturges",,
4,tt0033467,9/14/12,9/14/12,,"Citizen Kane",https://www.imdb.com/title/tt0033467/,Movie,8.3,119,1941,"Drama, Mystery",464172,9/5/41,"Orson Welles",,
5,tt0099334,10/2/12,10/2/12,,"Cyrano de Bergerac",https://www.imdb.com/title/tt0099334/,Movie,7.5,137,1990,"Comedy, Drama, History, Romance",25855,12/1/90,"Jean-Paul Rappeneau",,
6,tt0071464,10/18/12,10/18/12,,"Emmanuelle",https://www.imdb.com/title/tt0071464/,Movie,5.2,95,1974,"Drama, Romance",11015,12/3/74,"Just Jaeckin",,
7,tt0254455,11/1/12,11/1/12,,"Sex and Lucía",https://www.imdb.com/title/tt0254455/,Movie,7.0,128,2001,"Drama, Romance",38615,8/24/01,"Julio Medem",,
8,tt0758752,11/12/12,11/12/12,,"Love & Other Drugs",https://www.imdb.com/title/tt0758752/,Movie,6.7,112,2010,"Comedy, Drama, Romance",222978,11/24/10,"Edward Zwick",,
9,tt0046912,11/22/12,11/22/12,,"Dial M for Murder",https://www.imdb.com/title/tt0046912/,Movie,8.2,105,1954,"Crime, Thriller",187929,5/29/54,"Alfred Hitchcock",,
10,tt0081283,11/22/12,11/22/12,,"Ordinary People",https://www.imdb.com/title/tt0081283/,Movie,7.7,124,1980,"Drama",56436,9/19/80,"Robert Redford",,
11,tt2053425,11/23/12,11/23/12,,"Rust and Bone",https://www.imdb.com/title/tt2053425/,Movie,7.4,120,2012,"Drama, Romance",70125,5/17/12,"Jacques Audiard",,
12,tt0448965,12/3/12,12/3/12,,"Mysterious Island",https://www.imdb.com/title/tt0448965/,TV Movie,4.4,172,2005,"Action, Adventure, Fantasy, Sci-Fi",2300,9/17/05,"Russell Mulcahy",,
13,tt0119874,12/12/12,12/12/12,,"The Peacemaker",https://www.imdb.com/title/tt0119874/,Movie,6.0,124,1997,"Action, Drama, Thriller",62060,9/26/97,"Mimi Leder",,
14,tt0122933,12/14/12,12/14/12,,"Analyze This",https://www.imdb.com/title/tt0122933/,Movie,6.7,103,1999,"Comedy, Crime",161257,3/5/99,"Harold Ramis",,
15,tt2123969,12/14/12,12/14/12,,"In the Garden of Beasts",https://www.imdb.com/title/tt2123969/,Movie,,,,"Drama",0,,,,
16,tt0486655,12/24/12,12/24/12,,"Stardust",https://www.imdb.com/title/tt0486655/,Movie,7.6,127,2007,"Adventure, Family, Fantasy, Romance",284312,8/10/07,"Matthew Vaughn",,
17,tt1426328,12/24/12,12/24/12,,"Leonie",https://www.imdb.com/title/tt1426328/,Movie,6.1,102,2010,"Biography, Drama",593,11/20/10,"Hisako Matsui",,
18,tt0407263,12/31/12,12/31/12,,"Going Upriver",https://www.imdb.com/title/tt0407263/,Movie,7.7,87,2004,"Documentary, Biography, History",886,10/1/04,"George Butler",,
19,tt0114388,12/31/12,12/31/12,,"Sense and Sensibility",https://www.imdb.com/title/tt0114388/,Movie,7.7,136,1996,"Drama, Romance",124971,1/26/96,"Ang Lee",,
20,tt0104454,12/31/12,12/31/12,,"Howards End",https://www.imdb.com/title/tt0104454/,Movie,7.4,142,1993,"Drama, Romance",35628,2/26/93,"James Ivory",,
21,tt0086066,1/7/13,1/7/13,,"The Outsiders",https://www.imdb.com/title/tt0086066/,Movie,7.0,91,1983,"Crime, Drama",96747,3/25/83,"Francis Ford Coppola",,
22,tt0055184,1/19/13,1/19/13,,"The Misfits",https://www.imdb.com/title/tt0055184/,Movie,7.2,125,1961,"Drama, Romance, Western",23251,2/1/61,"John Huston",,
23,tt0080934,1/28/13,1/28/13,,"The Island",https://www.imdb.com/title/tt0080934/,Movie,5.3,114,1980,"Action, Adventure, Drama, Horror, Mystery, Thriller",4709,6/13/80,"Michael Ritchie",,
24,tt0358273,1/29/13,1/29/13,,"Walk the Line",https://www.imdb.com/title/tt0358273/,Movie,7.8,136,2005,"Biography, Drama, Music, Romance",264881,11/18/05,"James Mangold",,
25,tt2103085,1/30/13,1/30/13,,"Top of the Lake",https://www.imdb.com/title/tt2103085/,TV Series,7.4,,2013,"Crime, Drama, Mystery, Thriller",37591,3/18/13,,,
26,tt0337741,2/4/13,2/4/13,,"Something's Gotta Give",https://www.imdb.com/title/tt0337741/,Movie,6.7,128,2003,"Comedy, Drama, Romance",128677,12/12/03,"Nancy Meyers",,
27,tt0257360,2/7/13,2/7/13,,"About Schmidt",https://www.imdb.com/title/tt0257360/,Movie,7.2,125,2003,"Drama",133273,1/3/03,"Alexander Payne",,
